Domain,DomainDefinition,Indicator,IndicatorDefinition,MeasureID,Measure,MeasureDefinition,DataSource,PeriodEndDate,Type,CategoryName,CategoryOption,Value,Unit,RSE,LowerCI,UpperCI,ComparisonCategoryName,ComparisonCategoryOption,Notes
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,18-24,41.8,Percent,14.760765,30.23,54.36,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2018 12:00:00 AM,ACT,All,,47.4,Percent,3.7,44,50.9,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2014 12:00:00 AM,ACT,All,,52.9,Percent,3.2,49.6,56.2,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2012 12:00:00 AM,ACT,Gender,Female,51.7,Percent,4,47.6,55.8,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,55-64,59.32,Percent,4.7033043,53.74,64.67,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2010 12:00:00 AM,ACT,Age Group,5-17,70.8,Percent,2.6,67,74.3,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,75+,39.89,Percent,10.278265,32.16,48.17,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2018 12:00:00 AM,ACT,Gender,Male,44.6,Percent,5.8,39.6,49.7,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2012 12:00:00 AM,ACT,Gender,Male,56.4,Percent,4.1,51.8,60.9,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,45-54,55.05,Percent,5.431426,49.12,60.85,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2016 12:00:00 AM,ACT,Age Group,5-17,74.8,Percent,2.8,70.4,78.7,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,25-34,51.96,Percent,7.5057735,44.28,59.55,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2016 12:00:00 AM,ACT,Gender,Female,58.1,Percent,4,53.5,62.6,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2008 12:00:00 AM,ACT,All,,52.9,Percent,2.6,50.2,55.6,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2012 12:00:00 AM,ACT,Age Group,5-17,72.2,Percent,2.8,68.1,76,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2008 12:00:00 AM,ACT,Age Group,5-17,71.3,Percent,3,66.9,75.2,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2008 12:00:00 AM,ACT,Gender,Male,52.3,Percent,4.1,48.1,56.5,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Gender,Female,48.4,Percent,4.1,44.6,52.3,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,65-74,55.69,Percent,5.2253547,49.92,61.31,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2018 12:00:00 AM,ACT,Gender,Female,50.1,Percent,4.7,45.5,54.8,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Gender,Male,55.6,Percent,4.1,51.1,60,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2014 12:00:00 AM,ACT,Gender,Male,55.3,Percent,4.5,50.4,60,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2016 12:00:00 AM,ACT,All,,57.5,Percent,3.1,54,60.9,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Overall health,"Self-assessed health status is a commonly used measure of overall health. It reflects a person's perception of their own health at a given point in time, providing a broad picture of health outcomes across the general population. This indicator will measure the proportion of adults who self-rate their overall health as very good or excellent.",15,Health status,This measure shows the proportion of adults aged 18 years and over who rate their overall health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2014 12:00:00 AM,ACT,Gender,Female,50.9,Percent,4.4,46.4,55.3,,,"Self-rated health status.
Overall, how would you rate your/your child's health during the past 4 weeks. 
Figures for 2008 to 2016 are based on two year rolling averages."
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,18-24,40.42,Percent,15.462643,28.8,53.22,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,25-34,49.17,Percent,7.911328,41.58,56.8,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,75+,61.76,Percent,6.9462433,53.03,69.8,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2018 12:00:00 AM,ACT,Gender,Female,53.6,Percent,4.5,48.9,58.2,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Gender,Male,57.42,Percent,3.9533265,52.91,61.8,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2018 12:00:00 AM,ACT,Age Group,5-17,72.7,Percent,4.9,65.2,79.1,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2018 12:00:00 AM,ACT,Gender,Male,58.5,Percent,4.5,53.3,63.6,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,35-44,50.94,Percent,6.1444836,44.8,57.04,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2018 12:00:00 AM,ACT,All,,56,Percent,3.2,52.5,59.5,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Age Group,55-64,60.85,Percent,4.568611,55.27,66.16,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,Gender,Female,49.84,Percent,3.9927769,45.95,53.73,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
Health,Being healthy and supported with the right care,Mental health,A person's perception of the level of their mental health has direct connection with how they perceive their wellbeing. This indicator will measure the proportion of persons who rate their mental health as either very good or excellent. This indicator will also report on levels of psychological distress in the community.,16,Mental health status,This measure shows the proportion of ACT adults who rate their mental health as very good or excellent.,www.health.act.gov.au/about-our-health-system/data-and-publications/healthstats/data-collections,12/31/2019 12:00:00 AM,ACT,All,,53.4,Percent,2.8197947,50.43,56.31,,,"Self-rated mental health status. 
Overall, how would you rate your/your child's mental health during the past 4 weeks?"
