"","Club_Name","Club_Venue_Address","Club_Venue_Suburb","Club_Venue_State","Club_Venue_Postcode","Club_Venue_Email","Club_Venue_Latitude.","Club_Venue_Longitude","Club_Venue_Sports","Club_Venue_Website","Creation_Date"
"20","Atilio Waltcheff Tennis School","9 HOWARD LANE","MOUNT BARKER","SA",5251,"admin@awtennis.com.au",-35.07567,138.86251,"Tennis","www.awtennis.com.au",1973-10-25
"21","Atilio Waltcheff Tennis School","1A SAMUEL STREET","TRANMERE","SA",5073,"admin@awtennis.com.au",-34.90059,138.65908,"Tennis","www.awtennis.com.au",1955-01-12
"22","Great Southern Badminton Association","LOT 100 INMAN VALLEY ROAD","VICTOR HARBOR","SA",5211,"",-35.55534,138.59729,"Badminton","",1965-07-24
"23","High Performance Tennis","34 ARTHUR STREET","PAYNEHAM","SA",5070,"info@hptennis.com.au",-34.89881,138.64253,"Tennis","www.hptennis.com.au",1964-07-24
"24","Mount Pleasant Netball Club","180 FROMM ROAD","MOUNT PLEASANT","SA",5235,"mtpnetballclub@gmail.com",-34.76493,139.08323,"Bowls,Netball,Tennis","",1958-07-21
"25","Dartmoor Hockey Club","33 PLAYFORD DRIVE","NARACOORTE","SA",5271,"dartmoorhc@hotmail.com",-36.94691,140.73177,"Hockey","https://sitedesq.sportstg.com/site/index.cfm?fuseaction=display_main&OrgID=11616",1993-03-11
"26","Trinity Gardens Tennis Club","32 ALBERMARLE AVENUE","TRINITY GARDENS","SA",5068,"teams@tgtc.com.au",-34.9117,138.6481,"Tennis","www.tgtc.com.au",1972-04-22
"27","Tigers Rugby League Club Incorporated","139-159 BRADLEY GROVE","MITCHELL PARK","SA",5043,"gog2709@hotmail.com",-35.00163,138.56403,"Rugby League","http://tigers.rlc.adelaide.leaguenet.com.au/",1954-02-01
"28","Southern Athletic Club Incorporated","26 HEWLETT PACKARD STREET","REYNELLA EAST","SA",5161,"info@southernac.org.au",-35.09182,138.55781,"Athletics","http://southernac.org.au",1972-07-07
"29","Port Noarlunga Football and Sports Club","LOT 9 BRITAIN DRIVE","PORT NOARLUNGA SOUTH","SA",5167,"pnfcsports@gmail.com",-35.15814,138.47666,"Australian Rules,Cricket,Gridiron,Netball,Tennis","pnfc.org.au",1978-10-02
"30","The Western Districts Junior Rugby Union Football Club","UNIT 1-2 LOT 36 OLD PORT ROAD","PORT ADELAIDE","SA",5015,"stuarttod@adam.com.au",-34.85091,138.50271,"Rugby Union","",1991-10-13
"31","Encounter Bay Football Club","12 EWEN TERRACE","VICTOR HARBOR","SA",5211,"juniorfooty@ebfc.com.au",-35.55524,138.60188,"Australian Rules","www.ebfc.com.au",1985-09-06
"32","Vietnamese Friendship Table Tennis Club","11 GLADSTONE AVENUE","KILBURN","SA",5084,"khoinhu1112@gmail.com",-34.86374,138.58499,"Table Tennis","",1962-11-14
"33","South Adelaide Volleyball Club","27 ALISON AVENUE","MARION","SA",5043,"treasurer@savcpanthers.com",-35.00412,138.55349,"Volleyball","www.savcpanthers.com",1958-03-16
"34","Whyalla Judo Social Club","LOT 6537 CARTLEDGE AVENUE","WHYALLA STUART","SA",5608,"whyallajudoclub@gmail.com",-33.03955,137.51171,"Judo","whyallajudoclub.org.au",1978-04-16
"35","Elizabeth Gymnastics Club","20 LEONARD STREET","ELIZABETH PARK","SA",5113,"Elizabethgymnasticsclub@gmail.com",-34.71137,138.68115,"Gymnastics","",2004-02-20
"36","Kingston SE Golf Club","107 GOLFLINKS ROAD","KINGSTON SE","SA",5275,"cooper.peter.kgnse@bigpond.com",-36.85627,139.84486,"Golf","",1974-05-12
"37","Elizabeth Eastside Calisthenic Club","2 DOLPHIN STREET","ELIZABETH EAST","SA",5112,"lindap_s@hotmail.con",-34.72646,138.67803,"Calisthenics","",1995-03-03
"38","Central Augusta Football Club","58 OLD POWER STATION ROAD","PORT AUGUSTA","SA",5700,"centfc@bigpond.net.au",-32.51083,137.78553,"Australian Rules","",1997-01-23
"39","Para Vista Calisthenics School","12 CAROONA AVENUE","MODBURY HEIGHTS","SA",5092,"paravistacalisthenics@hotmail.com",-34.81777,138.66597,"Calisthenics","http://www.paravistacalisthenics.com.au",1969-11-06
"40","Macclesfield Football Club","10 DAVIES STREET","MACCLESFIELD","SA",5153,"gaband@adam.com.au",-35.17002,138.83088,"Australian Rules","http://www.foxsportspulse.com/club_info.cgi?clubID=93493&c=1-6621-0-0-0",1987-06-14
"41","Saints United Tennis Club","211-213 JUBILEE HIGHWAY EAST","GLENBURNIE","SA",5291,"catalinacottage@bigpond.com",-37.84163,140.81934,"Tennis","",1956-03-11
"42","Glenelg Surf Life Saving Club","LOT 1 SOUTH ESPLANADE","GLENELG","SA",5045,"secretary@glenelgslsc.com.au",-34.98019,138.51082,"Surf Lifesaving","http://www.glenelgslsc,com.au",1963-09-18
"43","Hackham West Community Centre","2 MAJORCA ROAD","HACKHAM WEST","SA",5163,"lyndahann@bigpond.com",-35.14249,138.51396,"Tennis","http://www.hwcc.org.au",1987-04-27
"44","Houghton Table Tennis and Sports Club","LOT 52 STRADBROKE ROAD","NEWTON","SA",5074,"lynann66@bigpond.com",-34.88368,138.69171,"Table Tennis","",1975-11-19
"45","Broughton Mundoora Netball Club","LOT 523 EAST TERRACE","PORT BROUGHTON","SA",5522,"amtlireland@bigpond.com",-33.59887,137.93455,"Netball","http://www.broughtonmundoora.netball.asn.au",1992-04-08
"46","Mannum Football Club","LOT 126 BORONIA ROAD","PORT MANNUM","SA",5238,"mannumfootballclub@gmail.com",-34.92218,139.29939,"Australian Rules","http://www.foxsportspulse.com/club_info.cgi?c=1-6715-0-0-0&clubID=97120",1994-12-27
"47","Dynamic Gymnastics Club","2A MAY TERRACE","OTTOWAY","SA",5013,"skemail@bigpond.com",-34.85141,138.52721,"Gymnastics","http://Dynamic Gymnastics Club",1968-09-05
"48","Port Augusta and Districts Little Athletics Club","21 BECKMAN STREET","STIRLING NORTH","SA",5710,"padlittleaths@gmail.com",-32.51327,137.83864,"Athletics","",1960-02-20
"49","Japan Karate Association - Salisbury Dojo","12-28 GARDEN TERRACE","MAWSON LAKES","SA",5095,"dion@risborg.com.au",-34.80983,138.61413,"Karate","http://www.JKASA.com.au",1962-03-22
"50","Japan Karate Association - Salisbury Dojo","2-26 FARLEY GROVE","SALISBURY NORTH","SA",5108,"dion@risborg.com.au",-34.75618,138.64066,"Karate","http://www.JKASA.com.au",1951-03-27
"51","Japan Karate Association - Salisbury Dojo","LOT 56 AMSTERDAM CRESCENT","SALISBURY DOWNS","SA",5108,"dion@risborg.com.au",-34.77969,138.63075,"Karate","http://www.JKASA.com.au",1973-11-18
"52","Forestville Eagles Basketball Club","143 ROSE TERRACE","WAYVILLE","SA",5034,"finance@forestvilleeagles.asn.au",-34.94376,138.58361,"Basketball","http://www.forestvilleeagles.asn.au",1974-04-15
"53","Brighton Calisthenics Club","443 BRIGHTON ROAD","BRIGHTON","SA",5048,"brightoncalisthenics@hotmail.com",-35.01656,138.52217,"Calisthenics","http://www.brightoncalisthenicsclub.com.au",1992-01-13
"54","Somerton Surf Life Saving Club","57 REPTON ROAD","NORTH BRIGHTON","SA",5048,"davidmargie.brown1@bigpond.com",-35.00332,138.51159,"Surf Lifesaving","http://somertonsurfclub.com.au",1967-07-17
"55","Seacliff SLSC","248 ESPLANADE","KINGSTON PARK","SA",5049,"gsmyth52@hotmail.com",-35.03567,138.51711,"Surf Lifesaving","http://seacliffslsc.com.au/",1961-04-23
"56","Basketball SA","LOT 642 STATES ROAD","MORPHETT VALE","SA",5162,"dobrien@basketballsa.com.au",-35.12121,138.53805,"Basketball","http://www.basketballsa.com.au",1981-11-25
"57","Basketball SA","LOT 8 WOODVILLE ROAD","ST CLAIR","SA",5011,"dobrien@basketballsa.com.au",-34.87495,138.54032,"Basketball","http://www.basketballsa.com.au",1969-12-20
"58","Sparkling Diamonds","3 ALLEN AVENUE","BROOKLYN PARK","SA",5032,"bossiney2003@gmail.com",-34.92546,138.54876,"Netball","",1982-12-06
"59","Basketball SA","LOT 100 DAWS ROAD","PASADENA","SA",5042,"dobrien@basketballsa.com.au",-34.99332,138.59113,"Basketball","http://www.basketballsa.com.au",1996-05-17
"60","Basketball SA","50-58 ST VINCENT STREET","PORT ADELAIDE","SA",5015,"dobrien@basketballsa.com.au",-34.84561,138.50013,"Basketball","http://www.basketballsa.com.au",1990-10-24
"61","Basketball SA","22 NORFOLK ROAD","MARION","SA",5043,"dobrien@basketballsa.com.au",-35.01392,138.55296,"Basketball","http://www.basketballsa.com.au",1956-10-05
"62","Basketball SA","143 ROSE TERRACE","WAYVILLE","SA",5034,"dobrien@basketballsa.com.au",-34.94376,138.58361,"Basketball","http://www.basketballsa.com.au",1962-06-25
"63","Virginia Football Club","LOT 15 OLD PORT WAKEFIELD ROAD","VIRGINIA","SA",5120,"president@virginiafootballclub.com",-34.65573,138.55687,"Australian Rules,Netball","http://www.virginiafootballclub.com",1981-01-05
"64","Murray Bridge Basketball Association","115-119 OLD PRINCES HIGHWAY","MURRAY BRIDGE EAST","SA",5253,"admin@mbba.com.au",-35.11429,139.30355,"Basketball","",1966-08-07
"65","Watervale Cricket Club","7420 HORROCKS HIGHWAY","WATERVALE","SA",5452,"helenbren79@yahoo.com.au",-33.95717,138.64699,"Cricket","",1981-08-13
"66","Port Augusta Judo Club","24 HANNAGAN STREET","PORT AUGUSTA","SA",5700,"augustadragons@gmail.com",-32.51105,137.7835,"Judo","",1960-02-08
"67","Port Lincoln Tennis Association","13A TENNYSON TERRACE","PORT LINCOLN","SA",5606,"ptlincolntennis@gmail.com",-34.71871,135.85276,"Tennis","http://www.tennis.com.au/ptlincolnta/",1994-04-26
"68","Mt Lofty District Football Club","LOT 1545 HEATHFIELD ROAD","HEATHFIELD","SA",5153,"asdacart@hotmail.com",-35.02322,138.71679,"Australian Rules","http://www.mtloftydevils.com.au/",1986-04-01
"69","Basketball Mount Gambier","451 COMMERCIAL STREET WEST","MOUNT GAMBIER","SA",5290,"admin@basketballmtgambier.com.au",-37.81565,140.73842,"Basketball","http://www.foxsportspulse.com/assoc_page.cgi?c=1-6239-0-323245-0&sID=110101",1990-12-16
"70","Woodville District Basketball Club","92A WOODVILLE ROAD","WOODVILLE","SA",5011,"admin@woodvillewarriors.com.au",-34.87502,138.53995,"Basketball","www.woodville.basketball.net.au",1958-05-21
"71","Riverland Triathlon Club","LOT 147 DEAN DRIVE","BARMERA","SA",5345,"riverlandtriclub@outlook.com",-34.25062,140.45694,"Triathlon","",1986-10-11
"72","West Coast Swimming Club","2 JUBILEE DRIVE","PORT LINCOLN","SA",5606,"westcoastswimming@gmail.com",-34.74361,135.8733,"Swimming","www.westcoastswimmingclub.com",2002-07-09
"73","Riverland Basketball Association","770 OLD STURT HIGHWAY","GLOSSOP","SA",5344,"mtrussel@bigpond.net.au",-34.28296,140.55838,"Basketball","",1994-09-28
"74","Riverland Basketball Association","1 JAMES TERRACE","BARMERA","SA",5345,"mtrussel@bigpond.net.au",-34.25215,140.45354,"Basketball","",1995-04-20
"75","Riverland Basketball Association","6 VERRAN TERRACE","BERRI","SA",5343,"mtrussel@bigpond.net.au",-34.28401,140.5976,"Basketball","",1976-03-21
"76","Riverland Basketball Association","23 LUTHER ROAD","LOXTON","SA",5333,"mtrussel@bigpond.net.au",-34.44565,140.57438,"Basketball","",1965-02-16
"77","Riverland Basketball Association","LOT 98 RAL RAL AVENUE","RENMARK","SA",5341,"mtrussel@bigpond.net.au",-34.16852,140.74317,"Basketball","",1952-06-16
"78","BBH Football Club","LOT 471 SMELTS ROAD","BURRA","SA",5417,"",-33.67691,138.94098,"Australian Rules","",1973-12-09
"79","Adelaide Plains Giants Little Athletics Centre","LOT A THOMAS CRESCENT","PORT WAKEFIELD","SA",5550,"jomand66@gmail.com",-34.18667,138.14953,"Athletics","",1989-07-20
"80","Barmera-Monash Football Club","LOT 150 DEAN DRIVE","BARMERA","SA",5345,"barmeramonashfc@sanflcfl.com.au",-34.24869,140.4628,"Australian Rules","www.barmeraclub.com.au",1976-06-22
"81","Modbury Tennis Club","LOT 6 HAZEL GROVE","RIDGEHAVEN","SA",5097,"modburytc@yahoo.com.au",-34.81807,138.69851,"Tennis","tennis.com.au/modburytc",1980-11-12
"82","Paskeville Netball Club ","39-41 SCHOOL TERRACE","PASKEVILLE","SA",5552,"paskevillenetballclub@gmail.com",-34.03991,137.90395,"Australian Rules,Basketball,Bowls,Cricket,Netball,Tennis","https://www.facebook.com/PaskevilleNetballClub",1996-08-12
"83","Yorke Peninsula Hockey Association","1677 BALGOWAN ROAD","MAITLAND","SA",5573,"lje6488@gmail.com",-34.34404,137.67824,"Hockey","https://sportsdesq.onesporttechnology.com/1047",1958-03-26
"84","Kalangadoo Netball Club","LOT 826 CROWE STREET","KALANGADOO","SA",5278,"secretary.kalangadoonc@gmail.com",-37.56617,140.66779,"Netball","",1988-03-14
"85","Playford Phantoms Softball Club","UNIT 3 80 ASHFIELD ROAD","ELIZABETH","SA",5112,"phantoms_softball_club@hotmail.com",-34.72881,138.67229,"Softball","http://playfordphantoms.softball.org.au",1968-06-26
"86","Playford Phantoms Softball Club","LOT 732 MAIN NORTH ROAD","ELIZABETH GROVE","SA",5112,"secretary@cdsa.asn.au",-34.72997,138.67334,"Softball","http://centraldistricts.softball.org.au",1996-04-27
"87","Andrews Farm Soccer and Community Club","52 PETHERTON ROAD","DAVOREN PARK","SA",5113,"afscc@outlook.com.au",-34.68983,138.66538,"Football (Soccer)","www.afscc.net",1984-11-18
"88","Burra and District Hockey Club","3 BRIDGE TERRACE","BURRA","SA",5417,"stoneleigh@aussiebroadband.com.au",-33.67916,138.93929,"Hockey","",1982-10-16
"89","Salisbury Junior Football Club","1-3 ORANGE AVENUE","SALISBURY","SA",5108,"treasurersfc@hotmail.com",-34.76608,138.64244,"Australian Rules","",1971-02-14
"90","Nairne Districts Netball Club","85 SYDNEY ROAD","NAIRNE","SA",5252,"nairnenetball@gmail.com",-35.03435,138.92911,"Netball","www.nairnedistricts.sa.netball.au",1978-03-15
"91","Pontian Eagles Sports and Social Club","19 YALUMBA DRIVE","PARALOWIE","SA",5108,"secretarypessc@gmail.com",-34.75724,138.62028,"Football (Soccer)","",1952-07-19
"92","Bridgewater Junior Soccer Club","46 MORELLA GROVE","BRIDGEWATER","SA",5155,"heleneegan@bigpond.com",-35.00386,138.76234,"Football (Soccer)","http://bjsc.weebly.com/",2005-01-19
"93","Campbelltown Comets Netball Club","LOT 31 EMERY ROAD","CAMPBELLTOWN","SA",5074,"info@campbelltowncomets.com",-34.87523,138.65866,"Netball","www.campbelltowncomets.com",1965-08-13
"94","Orroroo Football Club","40 EAST TERRACE","ORROROO","SA",5431,"lhounsell10@bigpond,com",-32.73891,138.61375,"Australian Rules","",1953-06-06
"95","Crystal Brook Netball Club","85 BRANDIS STREET","CRYSTAL BROOK","SA",5523,"griffincarla@hotmail.com",-33.34874,138.20354,"Netball","http://www.crystalbrook.netball.asn.au",1972-08-20
"96","Tea Tree Gully Amateur Swimming Club","5 FAR VIEW CRESCENT","RIDGEHAVEN","SA",5097,"president@ttgsc.org.au",-34.82112,138.69632,"Swimming","www.ttgsc.org.au",2002-11-24
"97","Eastern District Cricket Club","LOT 151 MAIN STREET","CURRAMULKA","SA",5580,"yppodiatry@bigpond.com",-34.69874,137.71418,"Cricket","",1970-08-10
"98","North East Hockey Club","LOT 504 THE GROVE WAY","GOLDEN GROVE","SA",5125,"membership@nehc.asn.au",-34.79183,138.69645,"Hockey","www.nehc.asn.au",1961-05-06
"99","Mannum Soccer Club","LOT 905 MALE ROAD","MANNUM","SA",5238,"kym.strauss@bigpond.com",-34.91289,139.3028,"Football (Soccer)","",2005-05-14
"100","Apollo Soccer Club","30 WEBB STREET","MOUNT GAMBIER","SA",5290,"apollosoccerclub@gmail.com",-37.82893,140.76509,"Football (Soccer)","",1974-08-13
"101","ICC Sharks Cricket Club","UNIT 9 101 STATES ROAD","MORPHETT VALE","SA",5162,"iccsharks@gmail.com",-35.1092,138.53425,"Cricket","www.iccsharks.com.au",2005-11-24
"102","Noarlunga United Soccer Club","LOT 642 STATES ROAD","MORPHETT VALE","SA",5162,"monikakay@optusnet.com.au",-35.12121,138.54026,"Football (Soccer)","www.noarlungaunitedsportingpulse.com.au",1981-06-17
"103","Reade Park Lawn Tennis Club","LOT 148 FLINDERS AVENUE","COLONEL LIGHT GARDENS","SA",5041,"tomtwelftree@gmail.com",-34.97994,138.59708,"Tennis","www.readeparktennis.net",1959-06-19
"104","Whyalla Wanderers Soccer and Social Club","LOT 74 BROADBENT TERRACE","WHYALLA","SA",5600,"nielsens@arrium.com",-33.04015,137.56413,"Football (Soccer)","",1992-04-26
"105","Glenelg Baseball Club","7 ANDERSON AVENUE","GLENELG NORTH","SA",5045,"secretarygbc@adam.com.au",-34.96375,138.51528,"Baseball","www.glenelg.baseball.com.au",1976-11-25
"106","Wallaroo Basketball Club","LOT 2308 CORNISH TERRACE","WALLAROO","SA",5556,"",-33.93688,137.62601,"Basketball","",1966-10-15
"107","Port Pirie Table Tennis Club","43 GREY TERRACE","PORT PIRIE SOUTH","SA",5540,"bev.frensham@hotmail.com",-33.19027,138.01375,"Table Tennis","Facebook/Port Pirie Table Tennis Club",1996-11-17
"108","Woodside Warriors Soccer Club","2 FOWLER STREET","WOODSIDE","SA",5244,"lmaker@iprimus.com.au",-34.95567,138.87667,"Football (Soccer)","www.woodsidewarriorssoccerclub.com.au",2000-06-26
"109","Angaston Netball Club","1 PARK ROAD","ANGASTON","SA",5353,"angastonnetballclub@gmail.com",-34.50521,139.04471,"Netball","http://www.angastonnetball.com.au/",1958-10-02
"110","International Clay Target Club","LOT 248 CARMELO ROAD","BUCKLAND PARK","SA",5120,"asolotv@internode.on.net",-34.66602,138.5368,"Shooting","",1987-10-05
"111","Northern Districts Calisthenics Club","56-82 GODDARD DRIVE","SALISBURY PARK","SA",5109,"secretary@northerndistrictscalisthenicsclub.com",-34.75986,138.66918,"Calisthenics","northerndistrictscalisthenicsclub.com",2001-08-09
"112","Ironbank Cherry Gardens Tennis Club","660 ACKLAND HILL ROAD","CHERRY GARDENS","SA",5157,"ibcg@bigpond.com",-35.05285,138.68105,"Tennis","",1956-09-02
"113","Coromandel Valley Ramblers Cricket Club","442B MAIN ROAD","COROMANDEL VALLEY","SA",5051,"treasurer@coromandelramblers.com.au",-35.05156,138.61938,"Cricket","www.coromandelramblers.com.au",1971-06-07
"114","Berri Softball Club","57 CHILTON ROAD","BERRI","SA",5343,"sharon.schrapel@bigpond.com",-34.27991,140.6166,"Softball","",1959-01-03
"115","Mannum Tennis Club","LOT 126 BORONIA ROAD","PORT MANNUM","SA",5238,"bindi.barker504@schools.sa.edu.au",-34.92282,139.30016,"Tennis","Lower Murray Hard Court Tennis Association",1980-01-23
"116","The Waikerie Tennis Club","LOT 601 SICHLER STREET","WAIKERIE","SA",5330,"waikerietennisclub@y7mail.com",-34.18564,139.9802,"Tennis","",2001-03-10
"117","Boston Tigers Basketball Club","17 MATTHEW PLACE","PORT LINCOLN","SA",5606,"mahartigan@bigpond.com",-34.72992,135.865,"Australian Rules,Basketball,Netball","",1964-10-23
"118","Wildcat Celtics Basketball Club","LOT 63 GEORGE MAIN ROAD","VICTOR HARBOR","SA",5211,"wildcatcelticsbasketballclub@live.com.au",-35.55649,138.61019,"Basketball","http://www.foxsportspulse.com/club_info.cgi?clubID=119259&c=1-8347-0-0-0",1994-11-05
"119","Titans Basketball Club","LOT 7 POWER CRESCENT","PORT AUGUSTA","SA",5700,"",-32.49547,137.78949,"Basketball","",2005-07-01
"120","Myponga - Sellicks Football Club","LOT 7 STEPHENS ROAD","MYPONGA","SA",5202,"salvi1jurado@gmail.com",-35.39364,138.46471,"Australian Rules,Cricket,Netball,Tennis","http://www.foxsportspulse.com/club_info.cgi?c=1-6233-92500-0-0",1986-03-18
"121","Fulham Cricket Club","LOT 1 WALTER STREET","KIDMAN PARK","SA",5025,"luko@adam.com.au",-34.91205,138.52123,"Cricket","fulhamcc.com",1963-04-05
"122","Marden Calisthenics College","UNIT 8 8A MONTACUTE ROAD","HECTORVILLE","SA",5073,"valthomaslewis@gmail.com",-34.88959,138.65765,"Calisthenics","www.mardencalisthenics.com",1988-05-25
"123","Jamestown Peterborough Football and Netball Club","LOT 736 KILMARNOCK TERRACE","JAMESTOWN","SA",5491,"jpfnc@y7mail.com.au",-33.20927,138.60079,"Australian Rules,Netball","jpmagpies.com",1966-01-25
"124","Jamestown Peterborough Football and Netball Club","LOT 251 MAIN STREET","PETERBOROUGH","SA",5422,"jpfnc@y7mail.com.au",-32.97116,138.84526,"Australian Rules,Netball","www.jpmagpies.com",1985-09-16
"125","Macclesfield Flames","20 WATSON STREET","MACCLESFIELD","SA",5153,"maccyflames@live.com.au",-35.17371,138.83018,"Netball","",1967-02-26
"126","Brighton Rugby Union Football Club","422 BRIGHTON ROAD","HOVE","SA",5048,"brightonrugbyinc@bigpond.com",-35.01545,138.52301,"Rugby Union","http://www.brightontigers.rugbynet.com.au/",2005-08-24
"127","Birdwood Cricket Club","1056 TORRENS VALLEY ROAD","BIRDWOOD","SA",5234,"Leeanne.Gladigau@bigpond.com",-34.82073,138.95049,"Cricket","http://birdwoodcc.sa.cricket.com.au/",1960-11-16
"128","Berri Football Club","LOT 1232 RIVERVIEW DRIVE","BERRI","SA",5343,"berrifc@sanflcfl.com.au",-34.28577,140.60558,"Australian Rules","https://www.facebook.com/pages/Berri-Football-Club/314038406083",1997-05-02
"129","Zodiacs Netball Club","28A MARGARET STREET","MOUNT GAMBIER","SA",5290,"sheight8@bigpond.com ",-37.83173,140.77561,"Netball","",1971-01-08
"130","Adelaide Hockey Club","107-108 GREENHILL ROAD","UNLEY","SA",5061,"secretary@adelaidehockeyclub.com.au",-34.941,138.60166,"Hockey","www.adelaidehockeyclub.com.au",1966-06-21
"131","Tennis SA Millswood Complex","15 CHELMSFORD AVENUE","MILLSWOOD","SA",5034,"millswood@tennis.com.au",-34.95532,138.5841,"Tennis","",1994-05-20
"132","Tailem Bend Football Club","2 MANNING STREET","TAILEM BEND","SA",5259,"",-35.24877,139.45504,"Australian Rules","",1997-02-15
"133","Starplex Swim Club","LOT 161 TRINITY DRIVE","EVANSTON PARK","SA",5116,"enquiries@starplexswimclub.org.au",-34.63264,138.73514,"Swimming","http://starplex.swimming.org.au/",1964-05-24
"134","Willunga Netball Club","16 ALDINGA ROAD","WILLUNGA","SA",5172,"willunganc.hotmail.com",-35.27162,138.5518,"Netball","willunganc.sa.netball.com.au",1951-08-28
"135","Adelaide Sailing Club","LOT 52 MILITARY ROAD","WEST BEACH","SA",5024,"admin@adelaidesailingclub.com.au",-34.95764,138.50557,"Sailing","www.adelaidesailingclub.com.au",1965-10-01
"136","Sidewinders Under Sixteen Speedway Club Inc","25 NORTH TERRACE","WINGFIELD","SA",5013,"mcguinnesshm@live.com.au",-34.83723,138.553,"Motor Sport","www.sidewinders-speedway.com",1960-11-24
"137","North Clare Football Club ","LOT 40 MAIN NORTH ROAD","CLARE","SA",5453,"mhelbig@ruralco.com.au",-33.83789,138.61439,"Australian Rules","http://northclarefc.com.au/",1981-06-10
"138","Paskeville Football Club","LOT 505 RAILWAY TERRACE","PASKEVILLE","SA",5552,"paskevillefc@bigpond.com.au",-34.03979,137.90468,"Australian Rules","",1982-02-20
"139","McLaren Football Club","41 PARK DRIVE","MCLAREN VALE","SA",5171,"k_davies2@bigpond.com",-35.21593,138.55283,"Australian Rules,Bocce,Cricket,Netball,Tennis","http://www.foxsportspulse.com/club_info.cgi?c=0-6233-92496-0-0&sID=170818",1961-03-17
"140","West Croydon Junior Football Club","15 HAMILTON ROAD","WOODVILLE NORTH","SA",5012,"juniors@westcroydonfc.com",-34.86175,138.546,"Australian Rules","",1975-01-20
