"Club_Name","Club_Venue_Address","Club_Venue_Suburb","Club_Venue_State","Club_Venue_Postcode","Club_Venue_Email","Club_Venue_Latitude ","Club_Venue_Longitude","Club_Venue_Sports","Club_Venue_Website"
"Japan Karate Association - Salisbury Dojo","LOT 56 AMSTERDAM CRESCENT","SALISBURY DOWNS","SA","5108","dion@risborg.com.au","-34.779690000000002","138.63075000000001","Karate","http://www.JKASA.com.au"
"Forestville Eagles Basketball Club","143 ROSE TERRACE","WAYVILLE","SA","5034","finance@forestvilleeagles.asn.au","-34.943759999999997","138.58360999999999","Basketball","http://www.forestvilleeagles.asn.au"
"Brighton Calisthenics Club","443 BRIGHTON ROAD","BRIGHTON","SA","5048","brightoncalisthenics@hotmail.com","-35.016559999999998","138.52216999999999","Calisthenics","http://www.brightoncalisthenicsclub.com.au"
"Somerton Surf Life Saving Club","57 REPTON ROAD","NORTH BRIGHTON","SA","5048","davidmargie.brown1@bigpond.com","-35.003320000000002","138.51159000000001","Surf Lifesaving","http://somertonsurfclub.com.au"
"Seacliff SLSC","248 ESPLANADE","KINGSTON PARK","SA","5049","gsmyth52@hotmail.com","-35.035670000000003","138.51711","Surf Lifesaving","http://seacliffslsc.com.au/"
"Basketball SA","LOT 642 STATES ROAD","MORPHETT VALE","SA","5162","dobrien@basketballsa.com.au","-35.121209999999998","138.53805","Basketball","http://www.basketballsa.com.au"
"Basketball SA","LOT 8 WOODVILLE ROAD","ST CLAIR","SA","5011","dobrien@basketballsa.com.au","-34.874949999999998","138.54032000000001","Basketball","http://www.basketballsa.com.au"
"Sparkling Diamonds","3 ALLEN AVENUE","BROOKLYN PARK","SA","5032","bossiney2003@gmail.com","-34.925460000000001","138.54875999999999","Netball",""
"Basketball SA","LOT 100 DAWS ROAD","PASADENA","SA","5042","dobrien@basketballsa.com.au","-34.993319999999997","138.59112999999999","Basketball","http://www.basketballsa.com.au"
"Basketball SA","50-58 ST VINCENT STREET","PORT ADELAIDE","SA","5015","dobrien@basketballsa.com.au","-34.845610000000001","138.50013000000001","Basketball","http://www.basketballsa.com.au"
"Basketball SA","22 NORFOLK ROAD","MARION","SA","5043","dobrien@basketballsa.com.au","-35.013919999999999","138.55296000000001","Basketball","http://www.basketballsa.com.au"
"Basketball SA","143 ROSE TERRACE","WAYVILLE","SA","5034","dobrien@basketballsa.com.au","-34.943759999999997","138.58360999999999","Basketball","http://www.basketballsa.com.au"
"Virginia Football Club","LOT 15 OLD PORT WAKEFIELD ROAD","VIRGINIA","SA","5120","president@virginiafootballclub.com","-34.655729999999998","138.55687","Australian Rules,Netball","http://www.virginiafootballclub.com"
"Murray Bridge Basketball Association","115-119 OLD PRINCES HIGHWAY","MURRAY BRIDGE EAST","SA","5253","admin@mbba.com.au","-35.114289999999997","139.30355","Basketball",""
"Watervale Cricket Club","7420 HORROCKS HIGHWAY","WATERVALE","SA","5452","helenbren79@yahoo.com.au","-33.957169999999998","138.64698999999999","Cricket",""
"Port Augusta Judo Club","24 HANNAGAN STREET","PORT AUGUSTA","SA","5700","augustadragons@gmail.com","-32.511049999999997","137.7835","Judo",""
"Port Lincoln Tennis Association","13A TENNYSON TERRACE","PORT LINCOLN","SA","5606","ptlincolntennis@gmail.com","-34.718710000000002","135.85275999999999","Tennis","http://www.tennis.com.au/ptlincolnta/"
"Mt Lofty District Football Club","LOT 1545 HEATHFIELD ROAD","HEATHFIELD","SA","5153","asdacart@hotmail.com","-35.023220000000002","138.71679","Australian Rules","http://www.mtloftydevils.com.au/"
"Basketball Mount Gambier","451 COMMERCIAL STREET WEST","MOUNT GAMBIER","SA","5290","admin@basketballmtgambier.com.au","-37.815649999999998","140.73841999999999","Basketball","http://www.foxsportspulse.com/assoc_page.cgi?c=1-6239-0-323245-0&sID=110101"
"Woodville District Basketball Club","92A WOODVILLE ROAD","WOODVILLE","SA","5011","admin@woodvillewarriors.com.au","-34.875019999999999","138.53995","Basketball","www.woodville.basketball.net.au"
"Riverland Triathlon Club","LOT 147 DEAN DRIVE","BARMERA","SA","5345","riverlandtriclub@outlook.com","-34.250619999999998","140.45694","Triathlon",""
"West Coast Swimming Club","2 JUBILEE DRIVE","PORT LINCOLN","SA","5606","westcoastswimming@gmail.com","-34.743609999999997","135.8733","Swimming","www.westcoastswimmingclub.com"
"Riverland Basketball Association","770 OLD STURT HIGHWAY","GLOSSOP","SA","5344","mtrussel@bigpond.net.au","-34.282960000000003","140.55838","Basketball",""
"Riverland Basketball Association","1 JAMES TERRACE","BARMERA","SA","5345","mtrussel@bigpond.net.au","-34.25215","140.45354","Basketball",""
"Riverland Basketball Association","6 VERRAN TERRACE","BERRI","SA","5343","mtrussel@bigpond.net.au","-34.284010000000002","140.5976","Basketball",""
"Riverland Basketball Association","23 LUTHER ROAD","LOXTON","SA","5333","mtrussel@bigpond.net.au","-34.445650000000001","140.57437999999999","Basketball",""
"Riverland Basketball Association","LOT 98 RAL RAL AVENUE","RENMARK","SA","5341","mtrussel@bigpond.net.au","-34.168520000000001","140.74316999999999","Basketball",""
"BBH Football Club","LOT 471 SMELTS ROAD","BURRA","SA","5417","","-33.676909999999999","138.94098","Australian Rules",""
"Adelaide Plains Giants Little Athletics Centre","LOT A THOMAS CRESCENT","PORT WAKEFIELD","SA","5550","jomand66@gmail.com","-34.186669999999999","138.14953","Athletics",""
"Barmera-Monash Football Club","LOT 150 DEAN DRIVE","BARMERA","SA","5345","barmeramonashfc@sanflcfl.com.au","-34.248690000000003","140.46279999999999","Australian Rules","www.barmeraclub.com.au"
"Modbury Tennis Club","LOT 6 HAZEL GROVE","RIDGEHAVEN","SA","5097","modburytc@yahoo.com.au","-34.818069999999999","138.69851","Tennis","tennis.com.au/modburytc"
"Paskeville Netball Club ","39-41 SCHOOL TERRACE","PASKEVILLE","SA","5552","paskevillenetballclub@gmail.com","-34.039909999999999","137.90395000000001","Australian Rules,Basketball,Bowls,Cricket,Netball,Tennis","https://www.facebook.com/PaskevilleNetballClub"
"Yorke Peninsula Hockey Association","1677 BALGOWAN ROAD","MAITLAND","SA","5573","lje6488@gmail.com","-34.34404","137.67823999999999","Hockey","https://sportsdesq.onesporttechnology.com/1047"
"Kalangadoo Netball Club","LOT 826 CROWE STREET","KALANGADOO","SA","5278","secretary.kalangadoonc@gmail.com","-37.56617","140.66779","Netball",""
"Playford Phantoms Softball Club","UNIT 3 80 ASHFIELD ROAD","ELIZABETH","SA","5112","phantoms_softball_club@hotmail.com","-34.728810000000003","138.67229","Softball","http://playfordphantoms.softball.org.au"
"Playford Phantoms Softball Club","LOT 732 MAIN NORTH ROAD","ELIZABETH GROVE","SA","5112","secretary@cdsa.asn.au","-34.729970000000002","138.67334","Softball","http://centraldistricts.softball.org.au"
"Andrews Farm Soccer and Community Club","52 PETHERTON ROAD","DAVOREN PARK","SA","5113","afscc@outlook.com.au","-34.689830000000001","138.66538","Football (Soccer)","www.afscc.net"
"Burra and District Hockey Club","3 BRIDGE TERRACE","BURRA","SA","5417","stoneleigh@aussiebroadband.com.au","-33.679160000000003","138.93929","Hockey",""
"Salisbury Junior Football Club","1-3 ORANGE AVENUE","SALISBURY","SA","5108","treasurersfc@hotmail.com","-34.766080000000002","138.64243999999999","Australian Rules",""
"Nairne Districts Netball Club","85 SYDNEY ROAD","NAIRNE","SA","5252","nairnenetball@gmail.com","-35.034350000000003","138.92911000000001","Netball","www.nairnedistricts.sa.netball.au"
"Pontian Eagles Sports and Social Club","19 YALUMBA DRIVE","PARALOWIE","SA","5108","secretarypessc@gmail.com","-34.757240000000003","138.62028000000001","Football (Soccer)",""
"Bridgewater Junior Soccer Club","46 MORELLA GROVE","BRIDGEWATER","SA","5155","heleneegan@bigpond.com","-35.003860000000003","138.76233999999999","Football (Soccer)","http://bjsc.weebly.com/"
"Campbelltown Comets Netball Club","LOT 31 EMERY ROAD","CAMPBELLTOWN","SA","5074","info@campbelltowncomets.com","-34.875230000000002","138.65866","Netball","www.campbelltowncomets.com"
"Orroroo Football Club","40 EAST TERRACE","ORROROO","SA","5431","lhounsell10@bigpond,com","-32.738909999999997","138.61375000000001","Australian Rules",""
"Crystal Brook Netball Club","85 BRANDIS STREET","CRYSTAL BROOK","SA","5523","griffincarla@hotmail.com","-33.348739999999999","138.20354","Netball","http://www.crystalbrook.netball.asn.au"
"Tea Tree Gully Amateur Swimming Club","5 FAR VIEW CRESCENT","RIDGEHAVEN","SA","5097","president@ttgsc.org.au","-34.821120000000001","138.69631999999999","Swimming","www.ttgsc.org.au"
"Eastern District Cricket Club","LOT 151 MAIN STREET","CURRAMULKA","SA","5580","yppodiatry@bigpond.com","-34.698740000000001","137.71418","Cricket",""
"North East Hockey Club","LOT 504 THE GROVE WAY","GOLDEN GROVE","SA","5125","membership@nehc.asn.au","-34.791829999999997","138.69645","Hockey","www.nehc.asn.au"
"Mannum Soccer Club","LOT 905 MALE ROAD","MANNUM","SA","5238","kym.strauss@bigpond.com","-34.912889999999997","139.30279999999999","Football (Soccer)",""
"Apollo Soccer Club","30 WEBB STREET","MOUNT GAMBIER","SA","5290","apollosoccerclub@gmail.com","-37.82893","140.76508999999999","Football (Soccer)",""
"ICC Sharks Cricket Club","UNIT 9 101 STATES ROAD","MORPHETT VALE","SA","5162","iccsharks@gmail.com","-35.109200000000001","138.53424999999999","Cricket","www.iccsharks.com.au"
"Noarlunga United Soccer Club","LOT 642 STATES ROAD","MORPHETT VALE","SA","5162","monikakay@optusnet.com.au","-35.121209999999998","138.54025999999999","Football (Soccer)","www.noarlungaunitedsportingpulse.com.au"
"Reade Park Lawn Tennis Club","LOT 148 FLINDERS AVENUE","COLONEL LIGHT GARDENS","SA","5041","tomtwelftree@gmail.com","-34.979939999999999","138.59708000000001","Tennis","www.readeparktennis.net"
"Whyalla Wanderers Soccer and Social Club","LOT 74 BROADBENT TERRACE","WHYALLA","SA","5600","nielsens@arrium.com","-33.040149999999997","137.56413000000001","Football (Soccer)",""
"Glenelg Baseball Club","7 ANDERSON AVENUE","GLENELG NORTH","SA","5045","secretarygbc@adam.com.au","-34.963749999999997","138.51527999999999","Baseball","www.glenelg.baseball.com.au"
"Wallaroo Basketball Club","LOT 2308 CORNISH TERRACE","WALLAROO","SA","5556","","-33.936880000000002","137.62601000000001","Basketball",""
"Port Pirie Table Tennis Club","43 GREY TERRACE","PORT PIRIE SOUTH","SA","5540","bev.frensham@hotmail.com","-33.190269999999998","138.01374999999999","Table Tennis","Facebook/Port Pirie Table Tennis Club"
"Woodside Warriors Soccer Club","2 FOWLER STREET","WOODSIDE","SA","5244","lmaker@iprimus.com.au","-34.955669999999998","138.87666999999999","Football (Soccer)","www.woodsidewarriorssoccerclub.com.au"
"Angaston Netball Club","1 PARK ROAD","ANGASTON","SA","5353","angastonnetballclub@gmail.com","-34.505209999999998","139.04471000000001","Netball","http://www.angastonnetball.com.au/"
"International Clay Target Club","LOT 248 CARMELO ROAD","BUCKLAND PARK","SA","5120","asolotv@internode.on.net","-34.666020000000003","138.5368","Shooting",""
"Northern Districts Calisthenics Club","56-82 GODDARD DRIVE","SALISBURY PARK","SA","5109","secretary@northerndistrictscalisthenicsclub.com","-34.759860000000003","138.66918000000001","Calisthenics","northerndistrictscalisthenicsclub.com"
"Ironbank Cherry Gardens Tennis Club","660 ACKLAND HILL ROAD","CHERRY GARDENS","SA","5157","ibcg@bigpond.com","-35.052849999999999","138.68105","Tennis",""
"Coromandel Valley Ramblers Cricket Club","442B MAIN ROAD","COROMANDEL VALLEY","SA","5051","treasurer@coromandelramblers.com.au","-35.051560000000002","138.61938000000001","Cricket","www.coromandelramblers.com.au"
"Berri Softball Club","57 CHILTON ROAD","BERRI","SA","5343","sharon.schrapel@bigpond.com","-34.279910000000001","140.61660000000001","Softball",""
"Mannum Tennis Club","LOT 126 BORONIA ROAD","PORT MANNUM","SA","5238","bindi.barker504@schools.sa.edu.au","-34.922820000000002","139.30016000000001","Tennis","Lower Murray Hard Court Tennis Association"
"The Waikerie Tennis Club","LOT 601 SICHLER STREET","WAIKERIE","SA","5330","waikerietennisclub@y7mail.com","-34.185639999999999","139.9802","Tennis",""
"Boston Tigers Basketball Club","17 MATTHEW PLACE","PORT LINCOLN","SA","5606","mahartigan@bigpond.com","-34.72992","135.86500000000001","Australian Rules,Basketball,Netball",""
"Wildcat Celtics Basketball Club","LOT 63 GEORGE MAIN ROAD","VICTOR HARBOR","SA","5211","wildcatcelticsbasketballclub@live.com.au","-35.556489999999997","138.61018999999999","Basketball","http://www.foxsportspulse.com/club_info.cgi?clubID=119259&c=1-8347-0-0-0"
"Titans Basketball Club","LOT 7 POWER CRESCENT","PORT AUGUSTA","SA","5700","","-32.495469999999997","137.78949","Basketball",""
"Myponga - Sellicks Football Club","LOT 7 STEPHENS ROAD","MYPONGA","SA","5202","salvi1jurado@gmail.com","-35.393639999999998","138.46471","Australian Rules,Cricket,Netball,Tennis","http://www.foxsportspulse.com/club_info.cgi?c=1-6233-92500-0-0"
"Fulham Cricket Club","LOT 1 WALTER STREET","KIDMAN PARK","SA","5025","luko@adam.com.au","-34.912050000000001","138.52123","Cricket","fulhamcc.com"
"Marden Calisthenics College","UNIT 8 8A MONTACUTE ROAD","HECTORVILLE","SA","5073","valthomaslewis@gmail.com","-34.889589999999998","138.65764999999999","Calisthenics","www.mardencalisthenics.com"
"Jamestown Peterborough Football and Netball Club","LOT 736 KILMARNOCK TERRACE","JAMESTOWN","SA","5491","jpfnc@y7mail.com.au","-33.209269999999997","138.60078999999999","Australian Rules,Netball","jpmagpies.com"
"Jamestown Peterborough Football and Netball Club","LOT 251 MAIN STREET","PETERBOROUGH","SA","5422","jpfnc@y7mail.com.au","-32.971159999999998","138.84526","Australian Rules,Netball","www.jpmagpies.com"
"Macclesfield Flames","20 WATSON STREET","MACCLESFIELD","SA","5153","maccyflames@live.com.au","-35.17371","138.83018000000001","Netball",""
"Brighton Rugby Union Football Club","422 BRIGHTON ROAD","HOVE","SA","5048","brightonrugbyinc@bigpond.com","-35.015450000000001","138.52301","Rugby Union","http://www.brightontigers.rugbynet.com.au/"
"Birdwood Cricket Club","1056 TORRENS VALLEY ROAD","BIRDWOOD","SA","5234","Leeanne.Gladigau@bigpond.com","-34.820729999999998","138.95049","Cricket","http://birdwoodcc.sa.cricket.com.au/"
"Berri Football Club","LOT 1232 RIVERVIEW DRIVE","BERRI","SA","5343","berrifc@sanflcfl.com.au","-34.285769999999999","140.60558","Australian Rules","https://www.facebook.com/pages/Berri-Football-Club/314038406083"
"Zodiacs Netball Club","28A MARGARET STREET","MOUNT GAMBIER","SA","5290","sheight8@bigpond.com ","-37.83173","140.77561","Netball",""
"Adelaide Hockey Club","107-108 GREENHILL ROAD","UNLEY","SA","5061","secretary@adelaidehockeyclub.com.au","-34.941000000000003","138.60166000000001","Hockey","www.adelaidehockeyclub.com.au"
"Tennis SA Millswood Complex","15 CHELMSFORD AVENUE","MILLSWOOD","SA","5034","millswood@tennis.com.au","-34.95532","138.58410000000001","Tennis",""
"Tailem Bend Football Club","2 MANNING STREET","TAILEM BEND","SA","5259","","-35.24877","139.45504","Australian Rules",""
"Starplex Swim Club","LOT 161 TRINITY DRIVE","EVANSTON PARK","SA","5116","enquiries@starplexswimclub.org.au","-34.632640000000002","138.73514","Swimming","http://starplex.swimming.org.au/"
"Willunga Netball Club","16 ALDINGA ROAD","WILLUNGA","SA","5172","willunganc.hotmail.com","-35.271619999999999","138.55179999999999","Netball","willunganc.sa.netball.com.au"
"Adelaide Sailing Club","LOT 52 MILITARY ROAD","WEST BEACH","SA","5024","admin@adelaidesailingclub.com.au","-34.957639999999998","138.50557000000001","Sailing","www.adelaidesailingclub.com.au"
"Sidewinders Under Sixteen Speedway Club Inc","25 NORTH TERRACE","WINGFIELD","SA","5013","mcguinnesshm@live.com.au","-34.837229999999998","138.553","Motor Sport","www.sidewinders-speedway.com"
"North Clare Football Club ","LOT 40 MAIN NORTH ROAD","CLARE","SA","5453","mhelbig@ruralco.com.au","-33.837890000000002","138.61438999999999","Australian Rules","http://northclarefc.com.au/"
"Paskeville Football Club","LOT 505 RAILWAY TERRACE","PASKEVILLE","SA","5552","paskevillefc@bigpond.com.au","-34.039790000000004","137.90468000000001","Australian Rules",""
"McLaren Football Club","41 PARK DRIVE","MCLAREN VALE","SA","5171","k_davies2@bigpond.com","-35.21593","138.55283","Australian Rules,Bocce,Cricket,Netball,Tennis","http://www.foxsportspulse.com/club_info.cgi?c=0-6233-92496-0-0&sID=170818"
"West Croydon Junior Football Club","15 HAMILTON ROAD","WOODVILLE NORTH","SA","5012","juniors@westcroydonfc.com","-34.861750000000001","138.54599999999999","Australian Rules",""
"Golden Heights Calisthenic Club","16 LAKE FROME PLACE","GREENWITH","SA","5125","bandjrowe@gmail.com","-34.764919999999996","138.71417","Calisthenics",""
"Burnside Rugby Union Football Club","420 THE PARADE","KENSINGTON GARDENS","SA","5068","brufc_secretary@adam.com","-34.921779999999998","138.66368","Rugby Union","burnsiderugby.com.au"
"Mount Gambier Calisthenics College","27-31 PERCY STREET","MOUNT GAMBIER","SA","5290","","-37.828850000000003","140.78541999999999","Calisthenics","www.mountgambiercalisthenicscollege.websyte.com.au"
"Banksia Park Netball Club","96 HAINES ROAD","BANKSIA PARK","SA","5091","mboth@internode.on.net","-34.81053","138.73057","Netball","banksiaparknetballclub.com"
"Adelaide Hills Hockey Club","LOT 40 PRINCES HIGHWAY","LITTLEHAMPTON","SA","5250","hillshornets@gmail.com","-35.055999999999997","138.85363000000001","Hockey",""
"AM United Hockey Club","LOT 156 DUCK PONDS ROAD","STOCKWELL","SA","5355","","-34.43318","139.04808","Hockey",""
"Adelaide Cougars Netball Club","155 RAILWAY TERRACE","KESWICK TERMINAL","SA","5035","","-34.932899999999997","138.57866000000001","Netball",""
"Clarendon Tennis Club","LOT 46 NICOLLE ROAD","CLARENDON","SA","5157","ClarendonTennis@gmail.com","-35.113320000000002","138.63207","Tennis","http://www.tennis.com.au/clarendontennisclub/"
"Two Wells Football and Netball Sporting Club","LOT 103 OLD PORT WAKEFIELD ROAD","TWO WELLS","SA","5501","twowellsfc@sanflcfl.com.au","-34.597029999999997","138.51716999999999","Australian Rules,Netball","www.twfnsc.com.au"
